Date,"Branded Fuel- Distribution Costs, Marketing Costs, and Profits",Branded Fuel- Crude Oil Cost,Branded Fuel- Refinery Costs and Profits,Branded Fuel- State Underground Storage Tank Fee:,Branded Fuel- State and Local Sales Tax,Branded Fuel- State Excise Tax,Branded Fuel- Federal Excise Tax,Branded Fuel- Average Retail prices,,"Unbranded Fuel- Distribution Costs, Marketing Costs, and Profits",Unbranded Fuel- Crude Oil Cost,Unbranded Fuel- Refinery Costs and Profits,Unbranded Fuel- State Underground Storage Tank Fee:,Unbranded Fuel- State and Local Sales Tax,Unbranded Fuel- State Excise Tax,Unbranded Fuel- Federal Excise Tax,Unbranded Fuel- Average Retail prices
2/15/2021,$0.42 ,$1.48 ,$0.67 ,$0.02 ,$0.07 ,$0.51 ,$0.18 ,$3.35 ,,$0.54 ,$1.48 ,$0.55 ,$0.02 ,$0.07 ,$0.51 ,$0.18 ,$3.35 
2/22/2021,$0.36 ,$1.54 ,$0.77 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.45 ,,$0.44 ,$1.54 ,$0.69 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.45 
3/1/2021,$0.40 ,$1.51 ,$0.87 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.56 ,,$0.47 ,$1.51 ,$0.80 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.56 
3/8/2021,$0.40 ,$1.62 ,$0.83 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.64 ,,$0.45 ,$1.62 ,$0.78 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.64 
3/15/2021,$0.40 ,$1.63 ,$0.91 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.73 ,,$0.42 ,$1.63 ,$0.89 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.73 
3/22/2021,$0.50 ,$1.54 ,$0.92 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.76 ,,$0.59 ,$1.54 ,$0.83 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.76 
3/29/2021,$0.48 ,$1.55 ,$0.94 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.77 ,,$0.58 ,$1.55 ,$0.85 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.77 
4/5/2021,$0.44 ,$1.48 ,$1.08 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.79 ,,$0.54 ,$1.48 ,$0.97 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.79 
4/12/2021,$0.43 ,$1.50 ,$1.08 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.80 ,,$0.57 ,$1.50 ,$0.94 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.80 
4/19/2021,$0.40 ,$1.59 ,$1.05 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.84 ,,$0.52 ,$1.59 ,$0.94 ,$0.02 ,$0.08 ,$0.51 ,$0.18 ,$3.84 
4/26/2021,$0.41 ,$1.55 ,$1.10 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$3.86 ,,$0.54 ,$1.55 ,$0.98 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$3.86 
5/3/2021,$0.39 ,$1.62 ,$1.10 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$3.91 ,,$0.50 ,$1.62 ,$0.99 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$3.91 
5/10/2021,$0.39 ,$1.60 ,$1.17 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$3.95 ,,$0.48 ,$1.60 ,$1.08 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$3.95 
5/17/2021,$0.44 ,$1.62 ,$1.12 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$3.98 ,,$0.54 ,$1.62 ,$1.02 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$3.98 
5/24/2021,$0.45 ,$1.61 ,$1.15 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.01 ,,$0.57 ,$1.61 ,$1.04 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.01 
5/31/2021,$0.43 ,$1.62 ,$1.21 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.06 ,,$0.53 ,$1.62 ,$1.11 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.06 
6/7/2021,$0.43 ,$1.70 ,$1.14 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.08 ,,$0.53 ,$1.70 ,$1.04 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.08 
6/14/2021,$0.45 ,$1.73 ,$1.10 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.09 ,,$0.57 ,$1.73 ,$0.99 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.09 
6/21/2021,$0.43 ,$1.78 ,$1.09 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.09 ,,$0.55 ,$1.78 ,$0.96 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.09 
6/28/2021,$0.40 ,$1.78 ,$1.15 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.13 ,,$0.52 ,$1.78 ,$1.03 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.13 
7/5/2021,$0.39 ,$1.83 ,$1.12 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.14 ,,$0.50 ,$1.83 ,$1.00 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.14 
7/12/2021,$0.45 ,$1.80 ,$1.12 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.17 ,,$0.58 ,$1.80 ,$0.98 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.17 
7/19/2021,$0.45 ,$1.64 ,$1.28 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.18 ,,$0.62 ,$1.64 ,$1.12 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.18 
7/26/2021,$0.41 ,$1.77 ,$1.19 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.17 ,,$0.54 ,$1.77 ,$1.06 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.17 
8/2/2021,$0.37 ,$1.75 ,$1.29 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.21 ,,$0.45 ,$1.75 ,$1.20 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.21 
8/9/2021,$0.46 ,$1.66 ,$1.32 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.23 ,,$0.58 ,$1.66 ,$1.19 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.23 
8/16/2021,$0.47 ,$1.66 ,$1.32 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.26 ,,$0.58 ,$1.66 ,$1.20 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.26 
8/23/2021,$0.64 ,$1.63 ,$1.16 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.23 ,,$0.77 ,$1.63 ,$1.02 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.23 
8/30/2021,$0.50 ,$1.72 ,$1.20 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.23 ,,$0.61 ,$1.72 ,$1.10 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.23 
9/6/2021,$0.49 ,$1.72 ,$1.20 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.23 ,,$0.61 ,$1.72 ,$1.08 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.23 
9/13/2021,$0.57 ,$1.76 ,$1.09 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.23 ,,$0.66 ,$1.76 ,$1.00 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.23 
9/20/2021,$0.56 ,$1.76 ,$1.09 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.22 ,,$0.67 ,$1.76 ,$0.98 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.22 
9/27/2021,$0.47 ,$1.88 ,$1.06 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.22 ,,$0.54 ,$1.88 ,$0.99 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.22 
10/4/2021,$0.43 ,$1.94 ,$1.06 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.24 ,,$0.48 ,$1.94 ,$1.02 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.24 
10/11/2021,$0.42 ,$2.00 ,$1.03 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.27 ,,$0.47 ,$2.00 ,$0.98 ,$0.02 ,$0.09 ,$0.51 ,$0.18 ,$4.27 
10/18/2021,$0.36 ,$2.02 ,$1.14 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.34 ,,$0.40 ,$2.02 ,$1.10 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.34 
10/25/2021,$0.42 ,$2.06 ,$1.10 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.39 ,,$0.45 ,$2.06 ,$1.06 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.39 
11/1/2021,$0.40 ,$2.04 ,$1.19 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.44 ,,$0.43 ,$2.04 ,$1.15 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.44 
11/8/2021,$0.50 ,$2.02 ,$1.14 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.47 ,,$0.56 ,$2.02 ,$1.09 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.47 
11/15/2021,$0.43 ,$1.99 ,$1.30 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.53 ,,$0.46 ,$1.99 ,$1.27 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.53 
11/22/2021,$0.60 ,$1.92 ,$1.22 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.55 ,,$0.66 ,$1.92 ,$1.16 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.55 
11/29/2021,$0.60 ,$1.77 ,$1.36 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.55 ,,$0.64 ,$1.77 ,$1.32 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.55 
12/6/2021,$0.71 ,$1.77 ,$1.23 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.53 ,,$0.78 ,$1.77 ,$1.16 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.53 
12/13/2021,$0.69 ,$1.80 ,$1.21 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.51 ,,$0.75 ,$1.80 ,$1.15 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.51 
12/20/2021,$0.67 ,$1.75 ,$1.27 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.50 ,,$0.77 ,$1.75 ,$1.18 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.50 
12/27/2021,$0.66 ,$1.90 ,$1.11 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.49 ,,$0.70 ,$1.90 ,$1.07 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.49 
1/3/2022,$0.59 ,$1.91 ,$1.18 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.50 ,,$0.62 ,$1.91 ,$1.15 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.50 
1/10/2022,$0.61 ,$1.96 ,$1.12 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.50 ,,$0.66 ,$1.96 ,$1.07 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.50 
1/17/2022,$0.60 ,$2.09 ,$1.00 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.50 ,,$0.64 ,$2.09 ,$0.96 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.50 
1/24/2022,$0.67 ,$2.08 ,$0.93 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.49 ,,$0.72 ,$2.08 ,$0.87 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.49 
1/31/2022,$0.62 ,$2.17 ,$0.88 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.49 ,,$0.62 ,$2.17 ,$0.88 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.49 
2/7/2022,$0.48 ,$2.22 ,$1.00 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.51 ,,$0.48 ,$2.22 ,$1.00 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.51 
2/14/2022,$0.44 ,$2.29 ,$0.98 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.52 ,,$0.40 ,$2.29 ,$1.02 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.52 
2/21/2022,$0.46 ,$2.22 ,$1.08 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.57 ,,$0.44 ,$2.22 ,$1.10 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.57 
2/28/2022,$0.47 ,$2.33 ,$1.05 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.67 ,,$0.40 ,$2.33 ,$1.12 ,$0.02 ,$0.10 ,$0.51 ,$0.18 ,$4.67 
3/7/2022,$0.36 ,$2.87 ,$1.12 ,$0.02 ,$0.11 ,$0.51 ,$0.18 ,$5.19 ,,$0.16 ,$2.87 ,$1.33 ,$0.02 ,$0.11 ,$0.51 ,$0.18 ,$5.19 
3/14/2022,$0.61 ,$2.50 ,$1.65 ,$0.02 ,$0.12 ,$0.51 ,$0.18 ,$5.59 ,,$0.47 ,$2.50 ,$1.79 ,$0.02 ,$0.12 ,$0.51 ,$0.18 ,$5.59 
3/21/2022,$0.50 ,$2.72 ,$1.66 ,$0.02 ,$0.13 ,$0.51 ,$0.18 ,$5.71 ,,$0.36 ,$2.72 ,$1.79 ,$0.02 ,$0.13 ,$0.51 ,$0.18 ,$5.71 
3/28/2022,$0.53 ,$2.58 ,$1.81 ,$0.02 ,$0.13 ,$0.51 ,$0.18 ,$5.76 ,,$0.51 ,$2.58 ,$1.83 ,$0.02 ,$0.13 ,$0.51 ,$0.18 ,$5.76 
4/4/2022,$0.96 ,$2.57 ,$1.35 ,$0.02 ,$0.13 ,$0.51 ,$0.18 ,$5.71 ,,$0.94 ,$2.57 ,$1.37 ,$0.02 ,$0.13 ,$0.51 ,$0.18 ,$5.71 
4/11/2022,$0.92 ,$2.46 ,$1.39 ,$0.02 ,$0.12 ,$0.51 ,$0.18 ,$5.62 ,,$0.94 ,$2.46 ,$1.38 ,$0.02 ,$0.12 ,$0.51 ,$0.18 ,$5.62 
4/18/2022,$0.74 ,$2.76 ,$1.21 ,$0.02 ,$0.12 ,$0.51 ,$0.18 ,$5.55 ,,$0.71 ,$2.76 ,$1.24 ,$0.02 ,$0.12 ,$0.51 ,$0.18 ,$5.55 
4/25/2022,$0.62 ,$2.54 ,$1.52 ,$0.02 ,$0.12 ,$0.51 ,$0.18 ,$5.51 ,,$0.65 ,$2.54 ,$1.49 ,$0.02 ,$0.12 ,$0.51 ,$0.18 ,$5.51 
5/2/2022,$0.41 ,$2.66 ,$1.62 ,$0.02 ,$0.12 ,$0.51 ,$0.18 ,$5.53 ,,$0.46 ,$2.66 ,$1.57 ,$0.02 ,$0.12 ,$0.51 ,$0.18 ,$5.53 
5/9/2022,$0.36 ,$2.62 ,$1.84 ,$0.02 ,$0.12 ,$0.51 ,$0.18 ,$5.65 ,,$0.39 ,$2.62 ,$1.81 ,$0.02 ,$0.12 ,$0.51 ,$0.18 ,$5.65 
5/16/2022,$0.27 ,$2.82 ,$1.85 ,$0.02 ,$0.13 ,$0.51 ,$0.18 ,$5.79 ,,$0.27 ,$2.82 ,$1.85 ,$0.02 ,$0.13 ,$0.51 ,$0.18 ,$5.79 
5/23/2022,$0.54 ,$2.76 ,$1.75 ,$0.02 ,$0.13 ,$0.51 ,$0.18 ,$5.90 ,,$0.61 ,$2.76 ,$1.69 ,$0.02 ,$0.13 ,$0.51 ,$0.18 ,$5.90 
5/30/2022,$0.40 ,$2.88 ,$1.87 ,$0.02 ,$0.13 ,$0.51 ,$0.18 ,$5.99 ,,$0.35 ,$2.88 ,$1.92 ,$0.02 ,$0.13 ,$0.51 ,$0.18 ,$5.99 
6/6/2022,$0.39 ,$2.94 ,$2.00 ,$0.02 ,$0.14 ,$0.51 ,$0.18 ,$6.18 ,,$0.35 ,$2.94 ,$2.04 ,$0.02 ,$0.14 ,$0.51 ,$0.18 ,$6.18 
6/13/2022,$0.56 ,$3.00 ,$1.85 ,$0.02 ,$0.14 ,$0.51 ,$0.18 ,$6.27 ,,$0.56 ,$3.00 ,$1.85 ,$0.02 ,$0.14 ,$0.51 ,$0.18 ,$6.27 
6/20/2022,$0.85 ,$2.77 ,$1.75 ,$0.02 ,$0.14 ,$0.51 ,$0.18 ,$6.22 ,,$0.95 ,$2.77 ,$1.65 ,$0.02 ,$0.14 ,$0.51 ,$0.18 ,$6.22 
6/27/2022,$0.79 ,$2.77 ,$1.73 ,$0.02 ,$0.14 ,$0.51 ,$0.18 ,$6.14 ,,$0.85 ,$2.77 ,$1.67 ,$0.02 ,$0.14 ,$0.51 ,$0.18 ,$6.14 
7/4/2022,$0.85 ,$2.71 ,$1.60 ,$0.02 ,$0.13 ,$0.54 ,$0.18 ,$6.04 ,,$0.89 ,$2.71 ,$1.56 ,$0.02 ,$0.13 ,$0.54 ,$0.18 ,$6.04 
7/11/2022,$1.20 ,$2.61 ,$1.22 ,$0.02 ,$0.13 ,$0.54 ,$0.18 ,$5.90 ,,$1.21 ,$2.61 ,$1.21 ,$0.02 ,$0.13 ,$0.54 ,$0.18 ,$5.90 
